NU_INSCRICAO,CO_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,TP_LINGUA,Q001,Q002,Q006,Q024,Q025,Q026,Q027,Q047,ATEND_ESPE1,ATEND_ESPE2
ed50e8aaa58e7a806c337585efee9ca41f1eb1ad,43,24,356.09260742898647,356.09260742898647,356.09260742898647,356.09260742898647,4,0,436.3,495.4,581.2,1,356.09260742898647,356.09260742898647,356.09260742898647,356.09260742898647,356.09260742898647,356.09260742898647,356.09260742898647,356.09260742898647,0,0
2c3acac4b33ec2b195d77e7c04a2d75727fad723,23,17,356.09260742898647,356.09260742898647,377.74630371449325,356.09260742898647,0,0,474.5,544.1,599.0,1,356.09260742898647,356.09260742898647,356.09260742898647,377.74630371449325,377.74630371449325,356.09260742898647,356.09260742898647,377.74630371449325,0,0
f4545f8ccb9ff5c8aad7d32951b3f251a26e6568,23,21,407.94630371449324,407.94630371449324,405.09753580966213,356.09260742898647,0,0,0.0,0.0,0.0,1,377.74630371449325,377.74630371449325,377.74630371449325,405.09753580966213,405.09753580966213,407.94630371449324,407.94630371449324,405.09753580966213,0,0
3d6ec248fef899c414e77f82d5c6d2bffbeaf7fe,33,25,271.9642024763288,356.09260742898647,303.8231518572466,377.74630371449325,9,0,0.0,0.0,0.0,0,356.09260742898647,356.09260742898647,356.09260742898647,356.09260742898647,356.09260742898647,377.74630371449325,356.09260742898647,356.09260742898647,0,0
bf896ac8d3ecadd6dba1dfbf50110afcbf5d3268,13,28,377.74630371449325,356.09260742898647,243.05852148579729,251.8308691429955,4,0,0.0,0.0,0.0,1,356.09260742898647,251.8308691429955,251.8308691429955,303.8231518572466,303.8231518572466,356.09260742898647,178.04630371449323,303.8231518572466,0,0
a37c99ec251d4f6e8ddbeabadf1c87fdbfddc4d1,29,18,203.9731518572466,377.74630371449325,202.54876790483107,188.87315185724663,1,0,439.7,583.2,410.9,0,178.04630371449323,178.04630371449323,188.87315185724663,356.09260742898647,178.04630371449323,271.9642024763288,271.9642024763288,243.05852148579729,0,0
63b4e128e9ffe8ab27f5d093db1976ef4f353e0a,51,18,236.07852148579727,271.9642024763288,225.68465820414093,407.9463037144932,0,0,420.1,604.2,484.5,0,240.19753580966213,188.87315185724663,223.99852148579726,360.2963037144932,240.19753580966213,251.8308691429955,356.09260742898647,263.2987679048311,0,0
2eb189d4912f64b19d1967e8e84b6141aba18770,43,18,284.9321012381644,373.3308691429954,263.62407592862337,223.99852148579726,1,0,619.6,625.8,611.2,0,356.09260742898647,356.09260742898647,356.09260742898647,416.59753580966213,312.4481518572466,295.0981518572466,295.0981518572466,178.04630371449323,0,0
5822cb43e0800429be2084b3f86a63aaa73fa66c,26,16,325.1846582041409,336.27315185724666,297.29917860322075,448.3642024763289,0,0,500.5,555.2,521.8,1,178.04630371449323,240.19753580966213,407.9463037144933,243.05852148579729,363.2985214857973,349.41852148579727,349.41852148579727,301.28465820414095,0,0
94f7e277f87cd58e10a45da4ad5dd168651cf3ef,31,24,251.8308691429955,356.09260742898647,356.09260742898647,356.09260742898647,0,0,0.0,0.0,0.0,0,242.8308691429955,273.2481518572466,356.09260742898647,454.1231518572466,364.81543457149775,178.04630371449323,377.74630371449325,310.1740759286233,0,0
