CO_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,TP_LINGUA,Q001,Q002,Q006,Q024,Q025,Q026,Q027,Q047,ATEND_ESPE1,ATEND_ESPE2,medias
43,24,0.12986161689730516,0.12986161689730516,0.12986161689730516,0.12986161689730516,4,1,436.3,495.4,581.2,1,0.12986161689730516,0.12986161689730516,0.12986161689730516,0.12986161689730516,0.12986161689730516,0.12986161689730516,0.12986161689730516,0.12986161689730516,0,0,504.3
23,17,0.12986161689730516,0.12986161689730516,0.06493080844865258,0.12986161689730516,0,1,474.5,544.1,599.0,1,0.12986161689730516,0.12986161689730516,0.12986161689730516,0.06493080844865258,0.06493080844865258,0.12986161689730516,0.12986161689730516,0.06493080844865258,0,0,539.1999999999999
23,21,0.06493080844865258,0.06493080844865258,0.04328720563243505,0.12986161689730516,0,0,0.0,0.0,0.0,1,0.06493080844865258,0.06493080844865258,0.06493080844865258,0.04328720563243505,0.04328720563243505,0.06493080844865258,0.06493080844865258,0.04328720563243505,0,0,0.0
33,25,0.04328720563243505,0.12986161689730516,0.03246540422432629,0.06493080844865258,9,0,0.0,0.0,0.0,0,0.12986161689730516,0.12986161689730516,0.12986161689730516,0.12986161689730516,0.12986161689730516,0.06493080844865258,0.12986161689730516,0.12986161689730516,0,0,0.0
13,28,0.06493080844865258,0.12986161689730516,0.02597232337946103,0.04328720563243505,4,0,0.0,0.0,0.0,1,0.12986161689730516,0.04328720563243505,0.04328720563243505,0.03246540422432629,0.03246540422432629,0.12986161689730516,0.06493080844865258,0.03246540422432629,0,0,0.0
29,18,0.03246540422432629,0.06493080844865258,0.021643602816217525,0.03246540422432629,1,1,439.7,583.2,410.9,0,0.06493080844865258,0.06493080844865258,0.03246540422432629,0.12986161689730516,0.06493080844865258,0.04328720563243505,0.04328720563243505,0.02597232337946103,0,0,477.9333333333334
51,18,0.02597232337946103,0.04328720563243505,0.01855165955675788,0.06493080844865258,0,1,420.1,604.2,484.5,0,0.04328720563243505,0.03246540422432629,0.02597232337946103,0.06493080844865258,0.04328720563243505,0.04328720563243505,0.12986161689730516,0.021643602816217525,0,0,502.9333333333334
43,18,0.021643602816217525,0.04328720563243505,0.016232702112163145,0.02597232337946103,1,1,619.6,625.8,611.2,0,0.12986161689730516,0.12986161689730516,0.12986161689730516,0.04328720563243505,0.03246540422432629,0.03246540422432629,0.03246540422432629,0.06493080844865258,0,0,618.8666666666667
26,16,0.01855165955675788,0.03246540422432629,0.014429068544145017,0.04328720563243505,0,1,500.5,555.2,521.8,1,0.06493080844865258,0.04328720563243505,0.06493080844865258,0.02597232337946103,0.02597232337946103,0.02597232337946103,0.02597232337946103,0.01855165955675788,0,0,525.8333333333334
31,24,0.04328720563243505,0.12986161689730516,0.12986161689730516,0.12986161689730516,0,0,0.0,0.0,0.0,0,0.04328720563243505,0.03246540422432629,0.12986161689730516,0.03246540422432629,0.021643602816217525,0.06493080844865258,0.06493080844865258,0.016232702112163145,0,0,0.0
26,29,0.016232702112163145,0.02597232337946103,0.012986161689730515,0.021643602816217525,8,1,413.4,407.9,533.9,1,0.06493080844865258,0.12986161689730516,0.04328720563243505,0.021643602816217525,0.02597232337946103,0.03246540422432629,0.12986161689730516,0.014429068544145017,0,0,451.7333333333333
21,17,0.014429068544145017,0.021643602816217525,0.01180560153611865,0.03246540422432629,0,1,503.4,509.6,490.1,1,0.04328720563243505,0.02597232337946103,0.03246540422432629,0.01855165955675788,0.021643602816217525,0.021643602816217525,0.021643602816217525,0.012986161689730515,0,0,501.0333333333333
